stage1_model,ontology_pair,ontology_pair_label,pair_universe,candidate_pairs,candidate_selection_rate,exact_reference_pairs,exact_reference_retained,exact_reference_coverage,expanded_reference_pairs,expanded_reference_retained,expanded_reference_coverage
Llama,mesh_ons,MeSH–ONS,338,83,0.2455621301775148,28,17,0.6071428571428571,28,17,0.6071428571428571
Llama,occo_mesh,OccO–MeSH,676,44,0.0650887573964497,22,15,0.6818181818181818,22,15,0.6818181818181818
Llama,occo_ons,OccO–ONS,1352,122,0.09023668639053255,38,28,0.7368421052631579,58,42,0.7241379310344828
Qwen,mesh_ons,MeSH–ONS,338,33,0.09763313609467456,28,4,0.14285714285714285,28,4,0.14285714285714285
Qwen,occo_mesh,OccO–MeSH,676,13,0.019230769230769232,22,6,0.2727272727272727,22,6,0.2727272727272727
Qwen,occo_ons,OccO–ONS,1352,34,0.02514792899408284,38,7,0.18421052631578946,58,10,0.1724137931034483
