stage1_model,ontology_pair,ontology_pair_label,file,json_file,rows,unique_pairs,duplicate_rows,missing_pair_keys,csv_json_same_pairs,csv_json_same_count,sha256_csv,sha256_json
Llama,mesh_ons,MeSH–ONS,data/stages/Stage_1/Stage1_Llama/mesh_ons/Llama-3.3-70B-Instruct_raw_s_f_mesh_ons_deeponto_stage1_case4.csv,data/stages/Stage_1/Stage1_Llama/mesh_ons/Llama-3.3-70B-Instruct_raw_s_f_mesh_ons_deeponto_stage1_case4.json,83,83,0,0,True,True,0d28f94027f0076f9e55230ccb9f5f87194167c33dc12547171cb761c7fd4e89,08825d05500be368460f8eda76b31d1da6cb53cdbac34fd8cbc822239f44b967
Llama,occo_mesh,OccO–MeSH,data/stages/Stage_1/Stage1_Llama/occo_mesh/Llama-3.3-70B-Instruct_raw_s_f_occo_mesh_deeponto_stage1_case4.csv,data/stages/Stage_1/Stage1_Llama/occo_mesh/Llama-3.3-70B-Instruct_raw_s_f_occo_mesh_deeponto_stage1_case4.json,44,44,0,0,True,True,fb1edcbd102f1ad81b96c66e6fab710f2e7817607859f01b40020755c9673a4e,263359a3044990fda4f97ebc231a00a4c48b255c29f1a31e9849e15837c4df77
Llama,occo_ons,OccO–ONS,data/stages/Stage_1/Stage1_Llama/occo_ons/Llama-3.3-70B-Instruct_raw_s_f_occo_ons_deeponto_stage1_case4.csv,data/stages/Stage_1/Stage1_Llama/occo_ons/Llama-3.3-70B-Instruct_raw_s_f_occo_ons_deeponto_stage1_case4.json,122,122,0,0,True,True,cfdedb83af8b5a88ec5d420268695e1d3d7b9f22e9002153751bb363e2660f33,db2dc52e6d9665f85de0cb2c9a95190d823e91f8bb54c52cce8f25aafabea6d7
Qwen,mesh_ons,MeSH–ONS,data/stages/Stage_1/Stage1_Qwen/mesh_ons/Qwen3-32B_raw_s_f_mesh_ons_deeponto_stage1_case4.csv,data/stages/Stage_1/Stage1_Qwen/mesh_ons/Qwen3-32B_raw_s_f_mesh_ons_deeponto_stage1_case4.json,33,33,0,0,True,True,49c61f7d6cbd4d1caf31fb69bb631e6a63a06fae4d33a7034dcb46a1f25a9fdc,59afddd5a3ea2202e3a37568cb357ce4f53ad399385bc24c8086891fbabe7b07
Qwen,occo_mesh,OccO–MeSH,data/stages/Stage_1/Stage1_Qwen/occo_mesh/Qwen3-32B_raw_s_f_occo_mesh_deeponto_stage1_case4.csv,data/stages/Stage_1/Stage1_Qwen/occo_mesh/Qwen3-32B_raw_s_f_occo_mesh_deeponto_stage1_case4.json,13,13,0,0,True,True,4894e30cf73d9358e01134da0edb1a8146410fa6303b455d139ff5963c7b6c9d,c75a3f4ce024833b64217c0d037dc7c3217b3da929574696f4e19c29fd8d1e06
Qwen,occo_ons,OccO–ONS,data/stages/Stage_1/Stage1_Qwen/occo_ons/Qwen3-32B_raw_s_f_occo_ons_deeponto_stage1_case4.csv,data/stages/Stage_1/Stage1_Qwen/occo_ons/Qwen3-32B_raw_s_f_occo_ons_deeponto_stage1_case4.json,34,34,0,0,True,True,cd4110ec55b9ed39e08514c98471c86ba1ab47ebdf5a690b64dfb2dc0b53e13c,72c2fbf93f20e23aba4961aea3a81a3c1bbf54d8442fdb81c15a706e4b29a76e
